flower_species,bee_species,visit_count,network_id,tube_depth_mm,corolla_diam_mm,floral_color,nectar_vol_ul,nectar_sugar_pct,symmetry,tongue_length_mm,body_length_mm,sociality,lecty,flight_range_m
Aristotelia chilensis,Policana albopilosa,673,Safariland,23.040539000416175,8.77954755560495,white,4.844618265051395,12.66150503885001,zygomorphic,17.54502876382321,7.093274698825553,solitary,polylectic,1064.0261095715687
Aristotelia chilensis,Ruizantheda mutabilis,110,Safariland,23.040539000416175,8.77954755560495,white,4.844618265051395,12.66150503885001,zygomorphic,19.984440622851253,6.573793071089312,social,polylectic,2798.750622617081
Aristotelia chilensis,Platycheirus1,4,Safariland,23.040539000416175,8.77954755560495,white,4.844618265051395,12.66150503885001,zygomorphic,4.337044597603381,10.61620420939289,solitary,polylectic,381.795617681928
Aristotelia chilensis,Ichneumonidae4,1,Safariland,23.040539000416175,8.77954755560495,white,4.844618265051395,12.66150503885001,zygomorphic,11.815222946926951,16.475464890012518,solitary,polylectic,2647.4092680960894
Aristotelia chilensis,Corynura prothysteres,1,Safariland,23.040539000416175,8.77954755560495,white,4.844618265051395,12.66150503885001,zygomorphic,16.978308094199747,14.574713356094435,social,polylectic,2937.4735597288236
Aristotelia chilensis,Braconidae2,1,Safariland,23.040539000416175,8.77954755560495,white,4.844618265051395,12.66150503885001,zygomorphic,19.431356781627983,7.430883147055283,social,polylectic,268.46004847902805
Alstroemeria aurea,Bombus dahlbomii,154,Safariland,23.55273450585082,39.30975437397137,UV_yellow,9.431793470866978,39.93558789603412,actinomorphic,18.563722632359713,10.277497133240104,social,polylectic,1229.3843288673088
Alstroemeria aurea,Syrphus octomaculatus,5,Safariland,23.55273450585082,39.30975437397137,UV_yellow,9.431793470866978,39.93558789603412,actinomorphic,4.8264776868745685,20.6269793799147,solitary,oligolectic,2614.0141282929108
Alstroemeria aurea,Manuelia gayi,7,Safariland,23.55273450585082,39.30975437397137,UV_yellow,9.431793470866978,39.93558789603412,actinomorphic,2.905963850673288,20.08434139098972,solitary,oligolectic,2506.31959089078
Alstroemeria aurea,Allograpta.Toxomerus,1,Safariland,23.55273450585082,39.30975437397137,UV_yellow,9.431793470866978,39.93558789603412,actinomorphic,16.982630712911487,16.917861277237535,social,polylectic,2913.793166424148
Alstroemeria aurea,Trichophthalma jaffueli,3,Safariland,23.55273450585082,39.30975437397137,UV_yellow,9.431793470866978,39.93558789603412,actinomorphic,4.3380469349212945,15.45667344192043,social,oligolectic,1201.059222384356
