tube_depth_mm,corolla_diam_mm,nectar_vol_ul,nectar_sugar_pct,tongue_length_mm,body_length_mm,flight_range_m,flower_degree,flower_betweenness,flower_closeness,bee_degree,bee_betweenness,bee_closeness,tongue_tube_ratio,tongue_tube_match,body_flower_ratio,degree_product,centrality_sum,color_UV_yellow,color_white,color_pink_purple,color_red,color_yellow,sym_actino,soc_social,lec_polylectic,interacts_f
23.040539000416175,8.77954755560495,4.844618265051395,12.66150503885001,17.54502876382321,7.093274698825553,1064.026109571569,6,0.3,0.12931034482758622,1,0,0.03149920255183413,0.7614851702690766,5.495510236592963,0.8079316905456178,6,0.3,0,1,0,0,0,0,0,1,yes
23.040539000416175,8.77954755560495,4.844618265051395,12.66150503885001,19.984440622851253,6.573793071089312,2798.750622617081,6,0.3,0.12931034482758622,2,0.04807692307692305,0.03588516746411483,0.8673599442482782,3.056098377564922,0.7487621690587618,12,0.34807692307692306,0,1,0,0,0,0,1,1,yes
23.040539000416175,8.77954755560495,4.844618265051395,12.66150503885001,4.337044597603381,10.61620420939289,381.795617681928,6,0.3,0.12931034482758622,2,0.2442307692307692,0.05023923444976076,0.18823537928192746,18.703494402812794,1.209197187230383,12,0.5442307692307692,0,1,0,0,0,0,0,1,yes
23.040539000416175,8.77954755560495,4.844618265051395,12.66150503885001,11.815222946926951,16.475464890012518,2647.40926809609,6,0.3,0.12931034482758622,2,0,0.03149920255183413,0.5128014994229751,11.225316053489223,1.8765733411278602,12,0.3,0,1,0,0,0,0,0,1,yes
23.040539000416175,8.77954755560495,4.844618265051395,12.66150503885001,16.978308094199747,14.574713356094437,2937.4735597288236,6,0.3,0.12931034482758622,2,0.2442307692307692,0.05023923444976076,0.7368884944008068,6.062230906216428,1.6600756774521708,12,0.5442307692307692,0,1,0,0,0,0,1,1,yes
23.040539000416175,8.77954755560495,4.844618265051395,12.66150503885001,19.431356781627983,7.430883147055283,268.46004847902805,6,0.3,0.12931034482758622,1,0,0.03149920255183413,0.8433551307665589,3.6091822187881917,0.8463856593966889,6,0.3,0,1,0,0,0,0,1,1,yes
23.55273450585082,39.30975437397137,9.431793470866978,39.93558789603412,18.563722632359713,10.277497133240104,1229.3843288673088,17,0.5,0.16810344827586207,2,0,0.04545454545454545,0.7881769578707827,4.989011873491108,0.26144902955804944,34,0.5,1,0,0,0,0,1,1,1,yes
23.55273450585082,39.30975437397137,9.431793470866978,39.93558789603412,4.8264776868745685,20.6269793799147,2614.0141282929108,17,0.5,0.16810344827586207,3,0.02307692307692307,0.04665071770334928,0.20492217944695998,18.726256818976253,0.5247292868757452,51,0.5230769230769231,1,0,0,0,0,1,0,0,yes
23.55273450585082,39.30975437397137,9.431793470866978,39.93558789603412,2.905963850673288,20.08434139098972,2506.31959089078,17,0.5,0.16810344827586207,1,0,0.04545454545454545,0.1233811662060474,20.646770655177534,0.5109251306919486,17,0.5,1,0,0,0,0,1,0,0,yes
23.55273450585082,39.30975437397137,9.431793470866978,39.93558789603412,16.982630712911487,16.917861277237535,2913.793166424148,17,0.5,0.16810344827586207,4,0.4173076923076923,0.04904306220095694,0.7210470915253075,6.570103792939335,0.43037311086429875,68,0.9173076923076924,1,0,0,0,0,1,1,1,yes
